Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación K:Mg (1:0.5) (K2O/1.17)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,76.0,11,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,29.5372,1.901427261904762,0.2496916666666667,0.18262249198332295
,77.0,11,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,29.5372,1.901427261904762,0.2496916666666667,0.18262249198332295
,78.0,12,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,29.5372,1.901427261904762,0.2496916666666667,0.18262249198332295
,79.0,12,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,29.5372,1.901427261904762,0.2496916666666667,0.18262249198332295
,80.0,12,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,29.5372,1.901427261904762,0.2496916666666667,0.18262249198332295
,81.0,12,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,82.0,12,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,83.0,12,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,84.0,12,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,85.0,13,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,86.0,13,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,87.0,13,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,88.0,13,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,89.0,13,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,90.0,13,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,91.0,13,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,92.0,14,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,93.0,14,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,94.0,14,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,95.0,14,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,96.0,14,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,97.0,14,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,98.0,14,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,99.0,15,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,100.0,15,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,101.0,15,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,102.0,15,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,103.0,15,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
,104.0,15,2.2453628242500003,1.5546953402351,3.9707468892000004,0.8484501900000001,0.8634,35.6483,1.901427261904762,0.2496916666666667,0.18262249198332295
